Date ;Region id ;Region ;DL ;Danger level ;Problem order ;Problem ;Cause/ weaklayer ;Type ;Size ;Trigger ;Probability ;Distribution
2013-01-11 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-11 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-12 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-12 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-13 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-13 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-14 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-14 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-15 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-15 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-16 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-16 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-17 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-17 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-18 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-18 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-19 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-19 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-20 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-20 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-21 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-21 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-22 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-22 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-23 ;124 ;Voss ;1 ;1 Liten ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-24 ;124 ;Voss ;1 ;1 Liten ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-25 ;124 ;Voss ;1 ;1 Liten ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-25 ;124 ;Voss ;1 ;1 Liten ;1 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Sannsynlig  ;
2013-01-26 ;124 ;Voss ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-26 ;124 ;Voss ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Sannsynlig  ;
