Antall;Faregrad;Skredproblem;Skredutløser;Svakt lag;Skredtype;Hovedbudskap norsk
1;Fg3 (1);Nysnøflak (1), Vedvarende svakt lag (1);Naturlig utløst (1), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (2);Bygenedbør kan gi store lokale forskjeller og krevende forhold. I tillegg til ustabile nysnøflak finnes det stedvis vedvarende svake lag under nysnøen.;Snowshowers may cause large local differences and demanding conditions. Be sure you have enough knowledge and experience before travelling in steep terrain. Be extra careful in lee areas with wind deposited snow. There are weak layers in the snowpack.
1;Fg2 (1);Nysnøflak (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Bygevær fører til lokalt ustabile forhold. Vær forsiktig i leområder hvor det samler seg mye snø.;Locally unstable conditions, be careful in lee areas with fresh wind deposited snow/storm slabs.
1;Fg2 (1);Fokksnø (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Bygevær gir nysnøflak og fokksnø i fjellet, vær også obs på vedvarende svakt lag i høyden. Nysnøen kan ligge på et rimlag enkelte steder.;Bygevær gir nysnøflak og fokksnø i fjellet, vær også obs på vedvarende svakt lag i høyden. Nysnøen kan ligge på et rimlag enkelte steder.
1;Fg2 (1);Fokksnø (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Bygevær gir nysnøflak og fokksnø i fjellet, vær også obs på vedvarende svakt lag i høyden. Økende vind og skredfaren fra kvelden.;Use caution on recently loaded slopes in the alpine. Persistent weak layers are present but not yet a great concern. The avalanche danger is increasing from late evening when the winds is picking up.
6;Fg2 (6);Nysnøflak (6);Liten tilleggsbelastning (6);Nedføyket svakt lag med nysnø (6);Tørre flakskred (6);Bygevær gjør at skredforholdene vil variere i regionen. Unngå leområder der det legger seg opp ferske nysnøflak.;Showers will result in local differences in new snow amount and danger level within the region. Avoid areas with fresh storm slabs.
1;Fg2 (1);Nysnøflak (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Bygevær kan føre til lokalt ustabile forhold. Vær forsiktig i leområder hvor det samler seg mye snø.;Wind slabs are a problem at high elevations. Showers will result in local differences in new snow amount in the afternoon. Wet avalanches can release in steep terrain in lower areas and in sun exposed slopes if the sun comes out.
2;Fg2 (2);Nysnøflak (1), Fokksnø (1);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Bygevær om ettermiddagen fører til lokalt ustabile forhold. Vær forsiktig i leområder hvor det samler seg mye snø.;Wind slabs are a problem at high elevations. Showers will result in local differences in new snow amount in the afternoon. Wet avalanches can release in steep terrain in lower areas and in sun exposed slopes if the sun comes out.
1;Fg2 (1);Nysnøflak (1);Liten tilleggsbelastning (1);Dårlig binding mellom glatt skare og overliggende snø (1);Tørre flakskred (1);Der det kommer nysnø vil skredfaren trolig øke. Nysnø i kombinasjon med vind danner ferske ustabile nysnøflak.;Fresh snow may give instable conditions, especially around Senja, north in the region. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2;Fg2 (2);Nysnøflak (2);Liten tilleggsbelastning (2);Dårlig binding mellom glatt skare og overliggende snø (2);Tørre flakskred (2);Der det kommer nysnø vil skredfaren øke. Nysnø i kombinasjon med vind danner ferske ustabile nysnøflak.;Fresh snow may give instable conditions, especially north in the region. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
4;Fg3 (4);Vedvarende svakt lag (4), Nysnøflak (4), Våte flakskred (2);Liten tilleggsbelastning (8), Naturlig utløst (2);Nedsnødd eller nedføyket kantkornet snø (4), Nedføyket svakt lag med nysnø (4), Opphopning av vann i/over lag i snødekket (2);Tørre flakskred (8), Våte flakskred (2);Det er eit komplekst snødekke, med nysnøflak i mange himmelretningar og fleire vedvarande svake lag. Ferdsel i skredterreng frårådast.;It's a complex snow cover with wind slabs in many directions, and several persistant weak layers. Avoid avalanche terrain.
