ID   Order  IsActive  Langkey   Name                                              Description                                       
0    0      1         1         Ikke gitt                                         Ikke gitt                                         
10   10     1         1         Nedføyket løs nysnø                               Nedføyket svakt lag med nysnø                     
11   11     1         1         Nedsnødd overflaterim                             Nedsnødd eller nedføyket overflaterim             
13   13     1         1         Nedsnødd kantkornet snø                           Nedsnødd eller nedføyket kantkornet snø           
14   14     1         1         Dårlig binding mot skare                          Dårlig binding mellom glatt skare og overliggende snø
15   15     1         1         Dårlig binding i fokksnøen                        Dårlig binding mellom lag i fokksnøen             
16   16     1         1         Kantkornet ved bakken                             Kantkornet snø ved bakken                         
18   22     1         1         Kantkornet over skare                             Kantkornet snø over skarelag                      
19   21     1         1         Kantkornet under skare                            Kantkornet snø under skarelag                     
20   24     1         1         Smelting fra bakken                               Vann ved bakken/smelting fra bakken               
22   23     1         1         Opphopning av vann over lag                       Opphopning av vann i/over lag i snødekket         
24   30     1         1         Ubunden snø                                       Ubunden snø                                       
