Dato ;Region ;Kommune ;Dødsfall ;Alvorsgrad ;Involverte ;Aktivitet ;Faregrad ;Skredproblem 1 ;Skredtype 1 ;Svaktlag 1 ;Skredproblem 2 ;Skredtype 2 ;Svaktlag 2 ;Skredproblem 3 ;Skredtype 3 ;Svaktlag 3 ;Kommentar ;regObs
2018-05-10 ;Lyngen ;Lyngen ;0 ; ;1 ;Ski ;3 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Våte flakskred ;Våte flakskred ;Opphopning av vann i/over lag i snødekket ;Våte flakskred ;Våte flakskred ;Kantkornet snø under skarelag ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;164270
2018-05-04 ;Nord-Troms ;Skjervøy ;0 ; ;1 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;163617
2018-05-03 ;Jotunheimen ;Lom ;0 ;Nestenulykke ;1 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ; ; ; ;Skiløperutløst skred. Ble ført med skredmassene 150 meter. Ikke begravd. Ikke skadet. ;163544
2018-05-03 ;Lyngen ;Lyngen ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;163491
2018-05-02 ;Nordenskiöld Land ;Svalbard ;0 ; ;1 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;163360
2018-05-01 ;Lyngen ;Lyngen ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;163322
2018-05-01 ;Tromsø ;Tromsø ;0 ; ;1 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet ;163213
2018-04-30 ;Lyngen ;Lyngen ;0 ; ;2 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløper utløst skred. Ingen tatt. Ingen skadet ;163089
2018-04-30 ;Sunnmøre ;Ørsta ;0 ;Påvirket ingenting ;3 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper utløste vått løssnøskred. Ingen tatt. Ingen skadet. ;163106
2018-04-30 ;Jotunheimen ;Luster ;0 ;Personer skadet ;6 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ; ; ; ;Person i turfølge gikk ut på skavl som brakk. Alvorlig skadet og frektet til sykehus med helikopter ;163107
2018-04-29 ;Lyngen ;Tromsø ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;162976
2018-04-29 ;Lyngen ;Tromsø ;0 ; ;1 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst lite løssnøskred. Ingen tatt. Ingen skadet. ;162982
2018-04-29 ;Lyngen ;Lyngen ;0 ;Ikke spesifisert ;2 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;162965
2018-04-28 ;Sunnmøre ;Ørsta ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutøst lite vått skred. Ingen tatt. Ingen skadet. ;162871
2018-04-28 ;Lyngen ;Tromsø ;0 ; ;1 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløper utløste lite vått skred. Ingen tatt.Ingen skadet ;162884
2018-04-27 ;Hardanger ;Kvinnherrad ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper utløste lite skred. Ingen tatt, ingen skadet ;162757
