Date ;Region id ;Region ;Nick ;DL ;Danger level ;Main message
2014-12-02 ;106 ;Alta ;HåvardT@met ;1 ;1 Low  ;Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features. The snow surface is mostly hard, be aware of the potential of sliding.
2014-12-02 ;107 ;Kåfjord ;HåvardT@met ;1 ;1 Low  ;Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features. The snow surface is mostly hard, be aware of the potential of sliding.
2014-12-02 ;108 ;Tromsø ;HåvardT@met ;1 ;1 Low  ;Some new snow, but generally stable conditions due to melt-freeze cycles last week. Small wind slabs in isolated areas are possible in steep terrain above 600m.
2014-12-02 ;109 ;Balsfjord ;HåvardT@met ;1 ;1 Low  ;Some new snow, but generally stable conditions due to melt-freeze cycles last week. Small wind slabs in isolated areas are possible in steep terrain above 600m.
2014-12-02 ;110 ;Senja ;Karsten@NVE ;1 ;1 Low  ;Little snow, low avalanche danger.
2014-12-02 ;111 ;Lyngsalpan ;HåvardT@met ;1 ;1 Low  ;Some new snow, but generally stable conditions due to melt-freeze cycles last week. Small wind slabs in isolated areas are possible in steep terrain above 600m.
2014-12-02 ;112 ;Bardu ;Karsten@NVE ;1 ;1 Low  ;Some new snow, but generally stable conditions due to melt-freeze cycles last week. Small wind slabs in isolated areas in the inner parts of the region are possible, but not likely.
2014-12-02 ;114 ;Narvik ;Karsten@NVE ;1 ;1 Low  ;Little snow and generally stable conditions due to melt-freeze cycles last week. Small wind slabs in isolated areas in the inner parts of the region are possible, but not likely.
2014-12-02 ;115 ;Vesterålen ;Karsten@NVE ;1 ;1 Low  ;Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
2014-12-02 ;116 ;Lofoten ;Karsten@NVE ;1 ;1 Low  ;Little snow, low avalanche danger.
2014-12-02 ;117 ;Trollheimen ;solveig@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-02 ;118 ;Romsdal ;solveig@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-02 ;119 ;Sunnmøre ;solveig@NVE ;1 ;1 Low  ;Be careful in areas with fresh wind deposited snow.
2014-12-02 ;121 ;Fjordane ;solveig@NVE ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-02 ;122 ;Sogn ;birgitrustad ;2 ;2 Moderate  ;Percipitation in combination with wind will lead to wind slabs in leeward slopes.
2014-12-02 ;123 ;Jotunheimen ;birgitrustad ;1 ;1 Low  ;Smaller slabs of wind deposited snow can be triggered in isolated features. The avalanche problem is most present in the southern part of the region.
2014-12-02 ;124 ;Voss ;solveig@NVE ;2 ;2 Moderate  ;Be careful in areas with fresh wind deposited snow.
2014-12-02 ;127 ;Røldal ;birgitrustad ;1 ;1 Low  ;Generally stable conditions, but in isolated features wind slabs can be present.
2014-12-02 ;128 ;Rauland ;birgitrustad ;1 ;1 Low  ;Little snow and generally stable conditions.
2014-12-02 ;129 ;Tamokdalen ;Karsten@NVE ;1 ;1 Low  ;Little snow and generally stable conditions due to melt-freeze cycles last week. Small wind slabs in isolated areas in the inner parts of the region are possible, but not likely.
2014-12-02 ;131 ;Svartisen ;Karsten@NVE ;1 ;1 Low  ;Some new snow, but generally stable conditions due to melt-freeze cycles last week. Small wind slabs in isolated areas in the inner parts of the region are possible, but not likely.
2014-12-02 ;132 ;Hallingdal ;birgitrustad ;2 ;2 Moderate  ;Generally stable conditions, but be aware areas with persistent weak layer beneath wind deposited snow.
2014-12-03 ;106 ;Alta ;HåvardT@met ;2 ;2 Moderate  ;Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features. The snow surface is mostly hard, be aware of the potential of sliding.
