Date ;Reg time ;Region id ;Region ;Municipal ;Nick ;Competence ;EAWS problem ;Cause/ weaklayer ;Type ;Catch 1 ;Catch 2 ;Catch 3 ;Catch 4 ;Size ;Trigger
2014-11-07 ;2014-11-07 12:48 ;106 ;Alta ;KVÆNANGEN ;Bjørnulf@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-11-08 ;2014-11-08 17:03 ;106 ;Alta ;KVÆNANGEN ;Bjørn M ;***** ; ;Poor bonding between crust and overlying snow ; ; ; ;The overlying slab is soft. ; ; ;
2014-11-11 ;2014-11-11 14:52 ;113 ;Harstad ;LAVANGEN ;Karsten@NVE ;**** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ;2 - Small ;Low additional load
2014-11-13 ;2014-11-13 12:54 ;111 ;Lyngsalpan ;LYNGEN ;BEE ;Unknown ;Persistent weak layers ;Buried weak layer of faceted snow near surface ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;Low additional load
2014-11-16 ;2014-11-16 19:44 ;112 ;Bardu ;MÅLSELV ;Vegard@forsvaret ;*** ; ;Buried weak layer of surface hoar ; ; ; ; ; ; ;
2014-11-23 ;2014-11-23 16:45 ;128 ;Rauland ;HJARTDAL ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2014-11-24 ;2014-11-24 11:43 ;122 ;Sogn ;SOGNDAL ;Jan Helge@SVV ;*** ; ;Buried weak layer of new snow ; ; ; ; ; ;1 - Harmless (sluff) ;
2014-11-24 ;2014-11-24 11:44 ;122 ;Sogn ;SOGNDAL ;martin@obskorps ;*** ;New snow ;Loose snow ;Loose dry avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-11-25 ;2014-11-25 12:47 ;125 ;Hallingskarvet ;ÅL ;steinar@obskorps ;* ;Persistent weak layers ;Buried weak layer of faceted snow beneath a crust ;Dry slab avalanche ; ; ; ; ;3 - Medium ;High additional load
2014-11-25 ;2014-11-25 14:26 ;125 ;Hallingskarvet ;ÅL ;Kari@ObsKorps ;*** ;Persistent weak layers ;Buried weak layer of faceted snow beneath a crust ;Dry slab avalanche ; ; ; ; ;3 - Medium ;High additional load
2014-11-25 ;2014-11-26 12:11 ;124 ;Voss ;VOSS ;Julie@SVV ;**** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-11-25 ;2014-11-25 16:41 ;128 ;Rauland ;TINN ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-11-26 ;2014-11-28 09:11 ;128 ;Rauland ;TINN ;Ukjent observatør ;Unknown ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;3 - Medium ;Low additional load
2014-11-26 ;2014-11-26 12:11 ;125 ;Hallingskarvet ;HOL ;steinar@obskorps ;* ;Persistent weak layers ;Buried weak layer of faceted snow above a crust ;Dry slab avalanche ; ; ; ;The collapsing weak layer is thin < 3 cm. ;3 - Medium ;High additional load
2014-11-26 ;2014-11-26 12:20 ;106 ;Alta ;KVÆNANGEN ;Bjørn M ;***** ;Wind-drifted snow ;Poor bonding between crust and overlying snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
2014-11-26 ;2014-11-26 14:51 ;128 ;Rauland ;VINJE ;Siggen@obskorps ;*** ;Wind-drifted snow ;Buried weak layer of new snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-11-26 ;2014-11-26 23:12 ;122 ;Sogn ;LUSTER ;martin@obskorps ;*** ; ;Buried weak layer of surface hoar ; ;A big and identifiable crystal in the weak layer. ; ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ; ;
2014-11-26 ;2014-11-26 21:20 ;126 ;Hemsedalfjella ;ÅL ;Kari@ObsKorps ;*** ; ; ; ; ; ; ; ; ;
2014-11-27 ;2014-11-27 12:43 ;107 ;Kåfjord ;KÅFJORD ;jan arild@NVE ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;High additional load
2014-11-27 ;2014-11-27 13:56 ;123 ;Jotunheimen ;VANG ;Leif@ObsKorps ;**** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ;The weak layer collapses easily and clean (easy propagation). ;The overlying slab is soft. ;The collapsing weak layer is thin < 3 cm. ;2 - Small ;High additional load
2014-11-27 ;2014-11-27 13:56 ;123 ;Jotunheimen ;VANG ;Leif@ObsKorps ;**** ;Persistent weak layers ;Buried weak layer of faceted snow near the ground ;Dry slab avalanche ;A big and identifiable crystal in the weak layer. ; ; ; ;2 - Small ;High additional load
2014-11-28 ;2014-11-28 11:03 ;124 ;Voss ;VIK ;Ragne@ObsKorps ;*** ;Wind-drifted snow ;Poor bonding between layers in wind deposited snow ;Dry slab avalanche ; ; ; ; ;1 - Harmless (sluff) ;Low additional load
