Date ;Region id ;Region ;DL ;Danger level ;Problem order ;Problem ;Cause/ weaklayer ;Type ;Size ;Trigger ;Probability ;Distribution
2013-01-11 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-11 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-12 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-12 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-13 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-13 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-14 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-15 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-16 ;110 ;Senja ;1 ;1 Liten ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-17 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-18 ;110 ;Senja ;3 ;3 Betydelig ;0 ; ;Regn ;Våte løssnøskred  ; ;Naturlig utløst ;Sannsynlig  ;
2013-01-18 ;110 ;Senja ;3 ;3 Betydelig ;1 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-19 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-20 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-20 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-21 ;110 ;Senja ;3 ;3 Betydelig ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-21 ;110 ;Senja ;3 ;3 Betydelig ;1 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-22 ;110 ;Senja ;3 ;3 Betydelig ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-22 ;110 ;Senja ;3 ;3 Betydelig ;1 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-23 ;110 ;Senja ;4 ;4 Stor ;0 ; ;Pålagring ;Tørre flakskred ; ;Naturlig utløst ;Mulig  ;
2013-01-23 ;110 ;Senja ;4 ;4 Stor ;1 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-24 ;110 ;Senja ;3 ;3 Betydelig ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-24 ;110 ;Senja ;3 ;3 Betydelig ;1 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-25 ;110 ;Senja ;3 ;3 Betydelig ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-25 ;110 ;Senja ;3 ;3 Betydelig ;1 ; ;Svake lag ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-26 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-26 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-27 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-01-27 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-28 ;110 ;Senja ;3 ;3 Betydelig ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Sannsynlig  ;
2013-01-29 ;110 ;Senja ;3 ;3 Betydelig ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Sannsynlig  ;
2013-01-30 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-30 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-31 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-01-31 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-01 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-02-02 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-02-02 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Vind ;Skavl  ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-03 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-02-03 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Vind ;Skavl  ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-04 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Lite sannsynlig  ;
2013-02-05 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Lite sannsynlig  ;
2013-02-06 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Lite sannsynlig  ;
2013-02-07 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Lite sannsynlig  ;
2013-02-08 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-09 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-10 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-11 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-12 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-13 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-14 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-14 ;110 ;Senja ;2 ;2 Moderat ;1 ; ;Oppvarming ;Våte løssnøskred  ; ;Naturlig utløst ;Mulig  ;
2013-02-15 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Svake lag ;Tørre flakskred ; ;Stor tilleggsbelastning ;Mulig  ;
2013-02-16 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre løssnøskred  ; ;Naturlig utløst ;Mulig  ;
2013-02-17 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre løssnøskred  ; ;Naturlig utløst ;Mulig  ;
2013-02-18 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-02-19 ;110 ;Senja ;2 ;2 Moderat ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Mulig  ;
2013-02-20 ;110 ;Senja ;3 ;3 Betydelig ;0 ; ;Pålagring ;Tørre flakskred ; ;Liten tilleggsbelastning ;Sannsynlig  ;
