avalanche_size;trigger;probability;distribution;x;y;label_size;label_trigger;label_probalility;label_distribution;colour
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Isolerte faresoner;100;100;1;HT;unlikely;isolated slopes;white
1 - Harmloest;Naturlig utloest;Lite sannsynlig;Isolerte faresoner;200;100;1;NT;unlikely;isolated slopes;white
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Isolerte faresoner;300;100;1;HT;possible;isolated slopes;white
1 - Harmloest;Naturlig utloest;Mulig;Isolerte faresoner;400;100;1;NT;possible;isolated slopes;white
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;100;1;HT;expected;isolated slopes;gray
1 - Harmloest;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;100;1;NT;expected;isolated slopes;gray
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Noen bratte heng;700;100;1;HT;unlikely;some steep slopes;white
1 - Harmloest;Naturlig utloest;Lite sannsynlig;Noen bratte heng;800;100;1;NT;unlikely;some steep slopes;white
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Noen bratte heng;900;100;1;HT;possible;some steep slopes;white
1 - Harmloest;Naturlig utloest;Mulig;Noen bratte heng;1000;100;1;NT;possible;some steep slopes;white
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;100;1;HT;expected;some steep slopes;white
1 - Harmloest;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;100;1;NT;expected;some steep slopes;white
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1300;100;1;HT;unlikely;many steep slopes;gray
1 - Harmloest;Naturlig utloest;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1400;100;1;NT;unlikely;many steep slopes;gray
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1500;100;1;HT;possible;many steep slopes;white
1 - Harmloest;Naturlig utloest;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1600;100;1;NT;possible;many steep slopes;white
1 - Harmloest;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1700;100;1;HT;expected;many steep slopes;white
1 - Harmloest;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1800;100;1;NT;expected;many steep slopes;white
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Isolerte faresoner;100;200;2;HT;unlikely;isolated slopes;white
2 - Smaa;Naturlig utloest;Lite sannsynlig;Isolerte faresoner;200;200;2;NT;unlikely;isolated slopes;white
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Isolerte faresoner;300;200;2;HT;possible;isolated slopes;white
2 - Smaa;Naturlig utloest;Mulig;Isolerte faresoner;400;200;2;NT;possible;isolated slopes;white
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;200;2;HT;expected;isolated slopes;gray
2 - Smaa;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;200;2;NT;expected;isolated slopes;gray
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Noen bratte heng;700;200;2;HT;unlikely;some steep slopes;white
2 - Smaa;Naturlig utloest;Lite sannsynlig;Noen bratte heng;800;200;2;NT;unlikely;some steep slopes;white
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Noen bratte heng;900;200;2;HT;possible;some steep slopes;white
2 - Smaa;Naturlig utloest;Mulig;Noen bratte heng;1000;200;2;NT;possible;some steep slopes;white
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;200;2;HT;expected;some steep slopes;white
2 - Smaa;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;200;2;NT;expected;some steep slopes;white
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1300;200;2;HT;unlikely;many steep slopes;gray
2 - Smaa;Naturlig utloest;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1400;200;2;NT;unlikely;many steep slopes;gray
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1500;200;2;HT;possible;many steep slopes;white
2 - Smaa;Naturlig utloest;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1600;200;2;NT;possible;many steep slopes;white
2 - Smaa;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1700;200;2;HT;expected;many steep slopes;white
2 - Smaa;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1800;200;2;NT;expected;many steep slopes;white
3 - Middels;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Isolerte faresoner;100;300;3;HT;unlikely;isolated slopes;white
3 - Middels;Naturlig utloest;Lite sannsynlig;Isolerte faresoner;200;300;3;NT;unlikely;isolated slopes;white
