avalanche_size;trigger;probability;distribution;x;y;label_size;label_trigger;label_probalility;label_distribution;colour;recomended_danger_level
1 - Harmloest;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;100;100;1;High;Possible;Isolated;white;1
1 - Harmloest;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;200;100;1;Low;Possible;Isolated;white;1
1 - Harmloest;Naturlig utloest;Lite sannsynlig, Mulig;Isolerte faresoner;300;100;1;Nat;Possible;Isolated;white;1
1 - Harmloest;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;400;100;1;High;Likely;Isolated;gray;0
1 - Harmloest;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;100;1;Low;Likely;Isolated;gray;0
1 - Harmloest;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;100;1;Nat;Likely;Isolated;gray;0
1 - Harmloest;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;700;100;1;High;Possible;Some;white;1
1 - Harmloest;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;800;100;1;Low;Possible;Some;white;1
1 - Harmloest;Naturlig utloest;Lite sannsynlig, Mulig;Noen bratte heng;900;100;1;Nat;Possible;Some;white;1
1 - Harmloest;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1000;100;1;High;Likely;Some;gray;0
1 - Harmloest;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;100;1;Low;Likely;Some;gray;0
1 - Harmloest;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;100;1;Nat;Likely;Some;white;1
1 - Harmloest;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1300;100;1;High;Possible;Many;gray;0
1 - Harmloest;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1400;100;1;Low;Possible;Many;white;1
1 - Harmloest;Naturlig utloest;Lite sannsynlig, Mulig;Mange bratte heng;1500;100;1;Nat;Possible;Many;gray;0
1 - Harmloest;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1600;100;1;High;Likely;Many;gray;0
1 - Harmloest;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1700;100;1;Low;Likely;Many;white;2
1 - Harmloest;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng;1800;100;1;Nat;Likely;Many;white;2
1 - Harmloest;Stor tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;1900;100;1;High;Possible;Most;gray;0
1 - Harmloest;Liten tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2000;100;1;Low;Possible;Most;gray;0
1 - Harmloest;Naturlig utloest;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2100;100;1;Nat;Possible;Most;gray;0
1 - Harmloest;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2200;100;1;High;Likely;Most;gray;0
1 - Harmloest;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2300;100;1;Low;Likely;Most;gray;0
1 - Harmloest;Naturlig utloest;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2400;100;2;Nat;Likely;Most;white;0
2 - Smaa;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;100;200;2;High;Possible;Isolated;white;1
2 - Smaa;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;200;200;2;Low;Possible;Isolated;white;1
2 - Smaa;Naturlig utloest;Lite sannsynlig, Mulig;Isolerte faresoner;300;200;2;Nat;Possible;Isolated;white;1
2 - Smaa;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;400;200;2;High;Likely;Isolated;gray;0
2 - Smaa;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;200;2;Low;Likely;Isolated;gray;0
2 - Smaa;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;200;2;Nat;Likely;Isolated;gray;0
2 - Smaa;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;700;200;2;High;Possible;Some;white;2
2 - Smaa;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;800;200;2;Low;Possible;Some;white;2
2 - Smaa;Naturlig utloest;Lite sannsynlig, Mulig;Noen bratte heng;900;200;2;Nat;Possible;Some;white;2
2 - Smaa;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1000;200;2;High;Likely;Some;gray;0
2 - Smaa;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;200;2;Low;Likely;Some;gray;0
2 - Smaa;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;200;2;Nat;Likely;Some;white;3
2 - Smaa;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1300;200;2;High;Possible;Many;gray;0
2 - Smaa;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1400;200;2;Low;Possible;Many;white;3
2 - Smaa;Naturlig utloest;Lite sannsynlig, Mulig;Mange bratte heng;1500;200;2;Nat;Possible;Many;gray;0
2 - Smaa;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1600;200;2;High;Likely;Many;gray;0
2 - Smaa;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1700;200;2;Low;Likely;Many;white;4
2 - Smaa;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng;1800;200;2;Nat;Likely;Many;white;4
2 - Smaa;Stor tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;1900;200;2;High;Possible;Most;gray;0
2 - Smaa;Liten tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2000;200;2;Low;Possible;Most;gray;0
2 - Smaa;Naturlig utloest;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2100;200;2;Nat;Possible;Most;gray;0
2 - Smaa;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2200;200;2;High;Likely;Most;gray;0
2 - Smaa;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2300;200;2;Low;Likely;Most;gray;0
2 - Smaa;Naturlig utloest;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2400;200;2;Nat;Likely;Most;white;0
3 - Middels;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;100;300;3;High;Possible;Isolated;white;1
3 - Middels;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;200;300;3;Low;Possible;Isolated;white;2
3 - Middels;Naturlig utloest;Lite sannsynlig, Mulig;Isolerte faresoner;300;300;3;Nat;Possible;Isolated;white;2
3 - Middels;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;400;300;3;High;Likely;Isolated;gray;0
3 - Middels;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;300;3;Low;Likely;Isolated;gray;0
3 - Middels;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;300;3;Nat;Likely;Isolated;gray;0
3 - Middels;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;700;300;3;High;Possible;Some;white;2
3 - Middels;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;800;300;3;Low;Possible;Some;white;3
3 - Middels;Naturlig utloest;Lite sannsynlig, Mulig;Noen bratte heng;900;300;3;Nat;Possible;Some;white;3
3 - Middels;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1000;300;3;High;Likely;Some;gray;0
3 - Middels;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;300;3;Low;Likely;Some;gray;0
3 - Middels;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;300;3;Nat;Likely;Some;white;4
3 - Middels;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1300;300;3;High;Possible;Many;gray;0
3 - Middels;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1400;300;3;Low;Possible;Many;white;4
3 - Middels;Naturlig utloest;Lite sannsynlig, Mulig;Mange bratte heng;1500;300;3;Nat;Possible;Many;gray;0
3 - Middels;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1600;300;3;High;Likely;Many;gray;0
3 - Middels;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1700;300;3;Low;Likely;Many;white;4
3 - Middels;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng;1800;300;3;Nat;Likely;Many;white;4
3 - Middels;Stor tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;1900;300;3;High;Possible;Most;gray;0
3 - Middels;Liten tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2000;300;3;Low;Possible;Most;gray;0
3 - Middels;Naturlig utloest;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2100;300;3;Nat;Possible;Most;gray;0
3 - Middels;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2200;300;3;High;Likely;Most;gray;0
3 - Middels;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2300;300;3;Low;Likely;Most;gray;0
3 - Middels;Naturlig utloest;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2400;300;3;Nat;Likely;Most;white;0
4 - Store;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;100;400;4;High;Possible;Isolated;white;2
4 - Store;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Isolerte faresoner;200;400;4;Low;Possible;Isolated;white;3
4 - Store;Naturlig utloest;Lite sannsynlig, Mulig;Isolerte faresoner;300;400;4;Nat;Possible;Isolated;white;3
4 - Store;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;400;400;4;High;Likely;Isolated;gray;0
4 - Store;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;400;4;Low;Likely;Isolated;gray;0
4 - Store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;400;4;Nat;Likely;Isolated;gray;0
4 - Store;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;700;400;4;High;Possible;Some;white;3
4 - Store;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Noen bratte heng;800;400;4;Low;Possible;Some;white;4
4 - Store;Naturlig utloest;Lite sannsynlig, Mulig;Noen bratte heng;900;400;4;Nat;Possible;Some;white;4
4 - Store;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1000;400;4;High;Likely;Some;gray;0
4 - Store;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;400;4;Low;Likely;Some;gray;0
4 - Store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;400;4;Nat;Likely;Some;white;4
4 - Store;Stor tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1300;400;4;High;Possible;Many;gray;0
4 - Store;Liten tilleggsbelastning;Lite sannsynlig, Mulig;Mange bratte heng;1400;400;4;Low;Possible;Many;white;0
4 - Store;Naturlig utloest;Lite sannsynlig, Mulig;Mange bratte heng;1500;400;4;Nat;Possible;Many;gray;0
4 - Store;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1600;400;4;High;Likely;Many;gray;0
4 - Store;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng;1700;400;4;Low;Likely;Many;white;0
4 - Store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng;1800;400;4;Nat;Likely;Many;white;5
4 - Store;Stor tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;1900;400;4;High;Possible;Most;gray;0
4 - Store;Liten tilleggsbelastning;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2000;400;4;Low;Possible;Most;gray;0
4 - Store;Naturlig utloest;Lite sannsynlig, Mulig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2100;400;4;Nat;Possible;Most;gray;0
4 - Store;Stor tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2200;400;4;High;Likely;Most;gray;0
4 - Store;Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;De fleste bratte heng, Ogsaa i mindre bratt terreng;2300;400;4;Low;Likely;Most;gray;0
