Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
10.05.18;0;1;Ski;M;Storgalten;Lyngen;Troms;164270;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
04.05.18;0;1;Ski;M;Breikågen;Skjervøy;Troms;163617;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
03.05.18;0;1;Ski;M;Stehøe;Lom;Oppl.;163544;;Skiløperutløst skred. Ble ført med skredmassene 150 meter. Ikke begravd. Ikke skadet.
03.05.18;0;1;Ski;M;Bjørndalen;Lyngen;Troms;163491;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
02.05.18;0;1;Ski;M;Bingtoppen;Svalbard;Sval.;163360;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
01.05.18;0;1;Ski;M;Fugledalsbreen;Lyngen;Troms;163322;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
01.05.18;0;1;Ski;M;Storsteinnestinden;Tromsø;Troms;163213;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet
30.04.18;0;2;Ski;M;Sultinden;Lyngen;Troms;163089;;Skiløper utløst skred. Ingen tatt. Ingen skadet
30.04.18;0;3;Ski;M;Grønetinden;Ørsta;M&R;163106;;Skiløper utløste vått løssnøskred. Ingen tatt. Ingen skadet.
30.04.18;0;6;Ski;M;Steindalsnosi;Luster;S&F;163107;;Person i turfølge gikk ut på skavl som brakk. Alvorlig skadet og frektet til sykehus med helikopter
29.04.18;0;1;Ski;M;Nakkefjellet;Tromsø;Troms;162976;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
29.04.18;0;1;Ski;M;Hamperokken;Tromsø;Troms;162982;;Skiløperutløst lite løssnøskred. Ingen tatt. Ingen skadet.
29.04.18;0;2;Ski;M;Storgalten;Lyngen;Troms;162965;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
28.04.18;0;1;Ski;M;Søre Snarhornet;Ørsta;M&R;162871;;Skiløperutøst lite vått skred. Ingen tatt. Ingen skadet.
28.04.18;0;1;Ski;M;Tromsdalstinden;Tromsø;Troms;162884;;Skiløper utløste lite vått skred. Ingen tatt.Ingen skadet
27.04.18;0;1;Ski;M;Medlerskin;Kvinnherrad;Hord.;162757;;Skiløper utløste lite skred. Ingen tatt, ingen skadet
26.04.18;0;1;Ski;M;Bukkehøe;Lom;Oppl.;162648;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
17.04.18;0;1;Ski;M;Leirløyfte;Lom;Oppl.;159797;;Skiløper utløste vått løssnøskred. Ingen tatt. Ingen skadet.
17.04.18;0;2;Ski;M;Goalsevarre ;Lyngen;Troms;159764;;Skiløpere utløste sløsjskred. Kjørte ut av skredet. Ingen skadet.
15.04.18;0;1;Ski;M;Saudehornet;Ørsta;M&R;159175;;Skiløperutløst skred. Ingen tatt?. Ingen skadet
15.04.18;0;1;Ski;M;Småtindan;Bodø;Nord.;159124;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
