Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
25	Fg2 (20), Fg1 (5)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	.	
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	I fokksnøen (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Avtakende vind og nedbør gir moderat skredfare. Myke fokksnøflak kan dannes utsatte steder. Solinnstråling kan føre til enkelte løssnøskred.	Reduced wind speed and less precipitation give moderate avalanche danger. Soft slabs may be formed in exposed areas. Solar heating can lead to some loos snow avalanches.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Bygevær fører til lokalt ustabile forhold. Vær forsiktig i leområder hvor det samler seg mye snø.	Locally unstable conditions. Be careful in lee areas with fresh wind deposited snow.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Bygevær gjør at skredforholdene vil variere i regionen. Unngå områder der det legger seg opp fersk fokksnø.	Showers will result in local differences within the region. Avoid areas with fresh storm slabs.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Der fokksnølaget er tynt eller mykt er det lettest å trigge et skred, feks i utkanten av flaket. Unngå spesielt kuler i terrenget.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Avoid especially convex terrain.
1	Fg1 (1)				Det er lite snø i området. Den snøen som har kommet ventes å være stabil.	Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Det er store snømengder og mykje vind i fjellet. Unngå terrengfeller og store bratte heng til nysnøen har stabilisert seg. Naturleg utløyste skred er mogleg.	Heavy snow loads and wind in the mountains. Be careful in and close to terrain traps and on steep slopes until the new snow has stabilized. Naturally released avalanches is possible.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Det er usikkerhet i prognosen så følg med på oppdateringer. Unngå leområder hvor det samler seg fersk fokksnø, typisk bak rygger, i søkk og renneformasjoner.	There are uncertainties in the weather forecast. Check for updates in the avalanche forecast. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Vedvarende svakt lag (1)	Lag med overflaterim (1)	Tørre flakskred (1)	Det finnes områder med svake lag av rim under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.	Be aware that there can be pockets with persistent weak layer beneath wind deposited snow. Be careful in areas these areas, especially in and close to terrain traps.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med overflaterim (2), Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (4)	Det finnes områder med svake lag i eller rett under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.	Be aware that there can be pockets with weak layer beneath or in the wind deposited snow. Be careful in these areas, especially in and close to terrain traps.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Det finnes områder med svake lag i høyden under den vindtransporterte snøen.	Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
5	Fg2 (5)	Vedvarende svakt lag (5)	Lag med kantkornet snø (5)	Tørre flakskred (5)	Det finnes områder med svake lag i snødekket, spesielt rundt skoggrensa. Vær forsiktig i leområder, særlig i eller nært terrengfeller.	Be aware that there can be pockets with persistent weak layer beneath wind deposited snow, especially around treeline.
26	Fg2 (25), Fg3 (1)	Vedvarende svakt lag (27), Fokksnø (10)	Lag med overflaterim (10), I fokksnøen (7), Lag med kantkornet snø (7), Kantkornet over skaren (6), Kantkornet ved bakken (4), Lag med løs nysnø (3)	Tørre flakskred (37)	Det finnes områder med svake lag under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.	There is a persistent weak layer buried in the snow pack, especially at tree line. Be careful in areas with wind deposited snow.
2	Fg2 (2)	Vedvarende svakt lag (3)	Kantkornet under skaren (2), Lag med overflaterim (1)	Tørre flakskred (3)	Det finnes områder med vedvarende svake lag under den vindtransporterte snøen. Vær forsiktig i leområder, særlig i eller nært terrengfeller.	There is a persistent weak layer buried in the snow pack, especially at tree line. Be careful in areas with wind deposited snow.
15	Fg2 (15)	Vedvarende svakt lag (15), Fokksnø (15)	I fokksnøen (9), Lag med kantkornet snø (9), Lag med løs nysnø (6), Kantkornet over skaren (4), Kantkornet under skaren (2)	Tørre flakskred (30)	Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fjernutløsning av skred er mulig.	There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. 3-medium to 4-large avalanches are possible where there is more snow over the weak layer.
18	Fg2 (18)	Vedvarende svakt lag (18), Fokksnø (18)	I fokksnøen (15), Lag med kantkornet snø (15), Lag med løs nysnø (3), Kantkornet over skaren (3)	Tørre flakskred (36)	Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fokksnø i høyden kan også gi skred.	There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Stormslabs may also form avalanches.
10	Fg2 (10)	Vedvarende svakt lag (10), Fokksnø (10)	I fokksnøen (10), Lag med kantkornet snø (10)	Tørre flakskred (20)	Det finnes svake lag i snødekket som kan trigges av skiløpere eller skuter der snødekket er tynt. Fokksnø i høyden kan også gi skred.	There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. 3-medium to 4-large avalanches are possible where there is more snow over the weak layer. Stormslabs may also form avalanch
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Lag med kantkornet snø (2)	Tørre flakskred (4)	Det finnes svake lag i snødekket som kan trigges av skiløperere eller skuter der snødekket er tynt. Fokksnø i høyden kan også gi skred.	There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Stormslabs may also form avalanches.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Det finnes ustabil fokksnø i høyden. Våte skred kan løsne av seg selv i lavlandet.	Unstable wind slabs at higher elevations. Wet avalanches can be naturally triggered.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	I fokksnøen (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Det finnes ustabil fokksnø i høyden. Vær oppmerksom på utglidningsfare. Våte skred kan løsne av seg selv i lavlandet.	Unstable wind slabs at higher elevations. Hard and slippery surface may cause skier to slide. Be aware of potential severe consequences. Wet avalanches can be naturally triggered.
