ID   Order  IsActive  Langkey   Name                                              Description                                       
0    1      1         1         Ikke gitt                                         None                                              
1    2      1         1         Ingen faretegn observert                          None                                              
2    3      1         1         Ferske skred                                      None                                              
3    4      1         1         Droenn i snoeen                                   None                                              
4    5      1         1         Ferske sprekker                                   None                                              
5    6      1         1         Stort snoefall                                    Brukes i elrapp                                   
6    7      1         1         Rimkrystaller                                     None                                              
7    8      1         1         Rask temperaturstigning                           None                                              
8    9      1         1         Mye vann i snoeen                                 None                                              
9    10     1         1         Fersk vindtransportert snoe                       None                                              
99   99     1         1         Annet faretegn (spesifiser)                       None                                              
200  201    1         1         Ikke gitt                                         None                                              
201  202    1         1         Ingen faretegn observert                          None                                              
202  203    1         1         Intenst regnvaer                                  None                                              
203  204    1         1         Intens snoesmelting                               None                                              
204  211    1         1         Overvann i terreng                                None                                              
205  212    1         1         Utilstrekkelig drenering                          None                                              
206  207    1         1         Stor vannfoering i bekker/elver                   None                                              
207  208    1         1         Jordfarga bekker/elver                            None                                              
208  213    1         1         Sprekker/sig i terrenget                          None                                              
209  214    1         1         Ferske jordskred                                  None                                              
212  205    1         1         Snoedekke med mye vann                            None                                              
214  210    1         1         Bekker tar nye loep                               None                                              
222  215    1         1         Massebevegelse langs skredkant                    None                                              
223  216    1         1         "Fulle traer"                                     Tre som boeyer seg                                
230  209    1         1         Erosjon langs bekker/elver                        None                                              
299  220    1         1         Andre faretegn (spesifiser)                       None                                              
600  600    1         1         Ikke gitt                                         None                                              
601  601    1         1         Ingen faretegn observert                          None                                              
611  611    1         1         Tette stikkrenner pga is                          None                                              
612  612    1         1         Tette stikkrenner pga rusk                        None                                              
621  621    1         1         Moderat vannstandsauke                            None                                              
622  622    1         1         Kraftig vannstandsauke                            None                                              
623  623    1         1         Hoey vannstand/flom                               None                                              
699  699    1         1         Annet (spesifiser)                                None                                              
700  700    1         1         Ikke gitt                                         None                                              
701  701    1         1         Ingen faretegn observert                          None                                              
705  705    1         1         tynt isdekke                                      None                                              
711  711    1         1         Isen har loesnet fra land                         None                                              
712  712    1         1         innloepsosen er aapen                             None                                              
713  713    1         1         utloepsosen er aapen                              None                                              
714  714    1         1         Store sprekker eller raaker                       None                                              
720  720    1         1         mye overvann                                      None                                              
730  730    1         1         oekt vannfoering                                  None                                              
799  799    1         1         Annet (spesifiser)                                None                                              
