ID   Order  IsActive  Langkey   Name                                              Description                                       
0    0      1         1         Ikke gitt                                         None                                              
10   10     1         1         Fritekstfelt                                      Tabellen brukes av alle naturfarer                
11   11     1         1         Hendelse                                          Tabellen brukes av alle naturfarer                
12   12     1         1         Bilde                                             Tabellen brukes av alle naturfarer                
13   13     1         1         Faretegn                                          Tabellen brukes av alle naturfarer                
21   21     1         1         Observert vaer                                    Tabellen brukes av snoe (GeohazardTID = 10)       
22   22     1         1         Snoedekke                                         Tabellen brukes av snoe (GeohazardTID = 10)       
23   23     1         1         Snoeprofil                                        Tabellen brukes av snoe (GeohazardTID = 10)       
24   24     1         1         Skredfaretegn                                     Tabellen brukes av snoe (GeohazardTID = 10)       
25   25     1         1         Kompresjonstest                                   Tabellen brukes av snoe (GeohazardTID = 10)       
26   26     1         1         Observert skred                                   Tabellen brukes av snoe (GeohazardTID = 10)       
27   27     1         1         Observert skredaktivitet                          Tabellen brukes av snoe (GeohazardTID = 10)       
28   28     1         1         Skredfarevurdering (2012)                         Tabellen brukes av snoe (GeohazardTID = 10)       
29   29     1         1         Svakt lag                                         Tabellen brukes av snoe (GeohazardTID = 10)       
30   30     1         1         Skredfarevurdering (2013)                         Tabellen brukes av snoe (GeohazardTID = 10)       
31   31     1         1         Skredfarevurdering (2014)                         Tabellen brukes av snoe (GeohazardTID = 10)       
32   32     1         1         Skredproblem (2014)                               Tabellen brukes av snoe (GeohazardTID = 10)       
40   40     1         1         Snoeskredvarsel                                   Tabellen brukes av snoe (GeohazardTID = 10)       
50   50     1         1         Observert istykkelse                              Tabellen brukes av is (GeohazardTID = 70)         
51   51     1         1         Isdekningsgrad                                    Tabellen brukes av is (GeohazardTID = 70)         
61   61     1         1         Vannstand                                         Tabellen brukes av vann (GeohazardTID = 60)       
71   71     1         1         Jordskred                                         Tabellen brukes av jord (GeohazardTID = 20,30og40)
99   99     1         1         Ukjent                                            None                                              
