ID   Order  IsActive  Langkey   Name                                              Description                                       
0    0      1         1         Ikke observert                                    None                                              
1    1      1         1         Ikke snoe                                         None                                              
10   2      1         1         PP Nysnoe                                         None                                              
20   3      1         1         PPgp Sproehagl                                    None                                              
30   4      1         1         DF Delvis nedbrutt nysnoe                         None                                              
40   5      1         1         RG Avrundete korn                                 ogsaa vindpaavirket                               
50   6      1         1         FC Kantkornet snoe                                None                                              
60   7      1         1         SH Overflaterim/hulromsrim                        None                                              
70   8      1         1         MF Smelteomdannede korn                           NB ikke skare                                     
80   9      1         1         MFcr Gjenfroset smeltelag                         None                                              
90   10     1         1         IF Is og skare                                    None                                              
99   11     1         1         Annen type                                        None                                              
