Comment;TripRegistrationTime;TripID;GeoHazardTID;ObserverID;IsFinished;TripTypeName;DeviceID;ObsLocationID;ObservationExpectedTime;TripTypeTID;TripFinishedTime
Rekognoseringstur for aa se snoemengde og fordeling;2015-11-10 10:24:39;603;10;270;True;Ordinaer ihht. obsavtale;2c69fe22-4736-4b68-34a7-1eb8b70dcd49;28178;2015-11-10 19:00:00;20;2015-11-10 13:25:31
Obs-tur aastedsgransking ifm skred Rasletind 15.11.15.;2015-11-16 11:23:42;604;10;784;True;Privat;144b6047-ce17-4f25-1116-9e22434fb173;28213;2015-11-16 15:00:00;60;2015-11-16 14:11:59
;2015-11-17 10:19:49;605;10;1586;True;Privat;d6393ba9-29fc-46cb-93b6-f0745749d10c;28223;2015-11-17 11:00:00;60;2015-11-17 11:15:57
Storhaugen . Foerste sjekk av snoedekke;2015-11-24 10:07:29;606;10;767;True;Ordinaer ihht. obsavtale;85a4254a-c463-4930-39f9-cb5a1dd53457;28361;2015-11-24 16:00:00;20;2015-11-24 13:42:22
Tur til Smaatinden i Raften. Faa en oversikt over snoedekket foer varslingssesongen er i gang;2015-11-27 10:32:22;607;10;788;True;Ordinaer ihht. obsavtale;5aaa1f37-5f43-45ef-7a65-2d4ee7537f95;28414;2015-11-27 15:00:00;20;2015-11-27 13:36:17
Skelelvhoegda i Lavangsdalen;2015-11-27 10:44:30;608;10;19;True;Ansatt;ced1cd43-c38f-4bc5-db0f-7d4caed849ba;28416;2015-11-27 15:00:00;50;2015-11-27 13:29:11
OErtfjelltinden, se hvor hoeyt det regnet siste dager, og se paa snoemengde paa ca 7-800moh;2015-11-28 09:24:45;609;10;839;True;Ordinaer ihht. obsavtale;efa83f9a-c115-4e42-bdcb-082be012d059;28448;2015-11-28 16:00:00;20;2015-11-28 14:03:57
;2015-11-28 10:53:41;610;10;282;True;Ordinaer ihht. obsavtale;5ae35999-6ebf-4e8b-6d87-3a083d9270b3;28449;2015-11-28 16:00:00;20;2015-11-28 23:00:00
Fagernesfjellet;2015-11-28 10:57:42;611;10;775;True;Ordinaer ihht. obsavtale;baf94173-aefb-47ad-1699-cd45aa899000;28450;2015-11-28 16:00:00;20;2015-11-28 23:00:00
;2015-11-28 13:08:28;612;10;16;True;Ordinaer ihht. obsavtale;92c32ec4-c42f-44f1-2506-4d39ebd4ccb0;28458;2015-11-28 17:00:00;20;2015-11-28 17:47:05
Langranden;2015-11-28 13:21:09;613;10;25;True;Ordinaer ihht. obsavtale;504bf9c6-37bc-46ae-613e-ce81782d1da0;28462;2015-11-28 17:00:00;20;2015-11-28 16:37:03
